Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
Mica,1,9,93,7029.000000,1,1,1,12.834,1.242,0.000
Mica,1,10,74,5978.000000,1,1,1,10.212,1.380,0.000
Mica,1,19,62,5887.000000,1,1,1,8.556,2.622,0.000
Mica,1,38,54,14872.000000,1,1,1,7.452,5.244,0.000
Mica,1,34,42,9585.000000,1,1,1,5.796,4.692,0.000
Mica,1,73,49,10244.000000,1,1,1,6.762,10.074,0.000
Mica,1,117,23,8047.000000,1,1,1,3.174,16.146,0.000
Mica,1,123,12,8849.000000,1,1,1,1.656,16.974,0.000
Mica,1,146,10,7942.000000,1,1,1,1.380,20.148,0.000
Mica,1,169,18,11818.000000,1,1,1,2.484,23.322,0.000
Mica,1,183,1,9723.000000,1,1,1,0.138,25.254,0.000
Mica,1,204,38,9594.000000,1,1,1,5.244,28.152,0.000
Mica,1,127,304,5804.000000,1,1,1,41.952,17.526,0.000
Mica,1,134,332,7482.000000,1,1,1,45.816,18.492,0.000
Mica,1,193,310,9609.000000,1,1,1,42.780,26.634,0.000
Mica,1,196,287,9155.000000,1,1,1,39.606,27.048,0.000
Mica,1,208,340,8236.000000,1,1,1,46.920,28.704,0.000
Mica,1,251,292,8902.000000,1,1,1,40.296,34.638,0.000
Mica,1,118,358,5678.000000,1,1,1,49.404,16.284,0.000
Mica,1,107,371,5817.000000,1,1,1,51.198,14.766,0.000
Mica,1,128,398,9683.000000,1,1,1,54.924,17.664,0.000
Mica,1,152,371,8974.000000,1,1,1,51.198,20.976,0.000
Mica,1,172,418,7255.000000,1,1,1,57.684,23.736,0.000
Mica,1,179,404,7946.000000,1,1,1,55.752,24.702,0.000
Mica,1,188,415,9872.000000,1,1,1,57.270,25.944,0.000
Mica,1,208,414,9559.000000,1,1,1,57.132,28.704,0.000
Mica,1,144,434,6304.000000,1,1,1,59.892,19.872,0.000
Mica,1,118,412,5338.000000,1,1,1,56.856,16.284,0.000
Mica,1,93,441,6396.000000,1,1,1,60.858,12.834,0.000
Mica,1,55,454,9663.000000,1,1,1,62.652,7.590,0.000
Mica,1,59,470,7281.000000,1,1,1,64.860,8.142,0.000
Mica,1,63,482,6113.000000,1,1,1,66.516,8.694,0.000
Mica,1,31,476,9536.000000,1,1,1,65.688,4.278,0.000
Mica,1,5,422,7312.000000,1,1,1,58.236,0.690,0.000
Mica,1,4,452,8977.000000,1,1,1,62.376,0.552,0.000
Mica,1,37,402,5652.000000,1,1,1,55.476,5.106,0.000
Mica,1,42,396,8105.000000,1,1,1,54.648,5.796,0.000
Mica,1,46,363,10794.000000,1,1,1,50.094,6.348,0.000
Mica,1,31,344,6045.000000,1,1,1,47.472,4.278,0.000
Mica,1,55,342,7010.000000,1,1,1,47.196,7.590,0.000
Mica,1,62,342,5864.000000,1,1,1,47.196,8.556,0.000
Mica,1,65,336,5637.000000,1,1,1,46.368,8.970,0.000
Mica,1,80,311,9574.000000,1,1,1,42.918,11.040,0.000
Mica,1,48,525,8444.000000,1,1,1,72.450,6.624,0.000
Mica,1,42,536,7287.000000,1,1,1,73.968,5.796,0.000
Mica,1,17,563,9185.000000,1,1,1,77.694,2.346,0.000
Mica,1,38,588,7224.000000,1,1,1,81.144,5.244,0.000
Mica,1,78,589,7113.000000,1,1,1,81.282,10.764,0.000
Mica,1,86,560,9308.000000,1,1,1,77.280,11.868,0.000
Mica,1,110,594,6822.000000,1,1,1,81.972,15.180,0.000
Mica,1,130,584,5861.000000,1,1,1,80.592,17.940,0.000
Mica,1,128,608,6830.000000,1,1,1,83.904,17.664,0.000
Mica,1,86,617,9781.000000,1,1,1,85.146,11.868,0.000
Mica,1,144,516,9739.000000,1,1,1,71.208,19.872,0.000
Mica,1,188,504,10012.000000,1,1,1,69.552,25.944,0.000
Mica,1,180,496,5158.000000,1,1,1,68.448,24.840,0.000
Mica,1,196,478,10985.000000,1,1,1,65.964,27.048,0.000
Mica,1,218,475,6158.000000,1,1,1,65.550,30.084,0.000
Mica,1,190,461,7720.000000,1,1,1,63.618,26.220,0.000
Mica,1,217,520,8398.000000,1,1,1,71.760,29.946,0.000
Mica,1,214,535,9025.000000,1,1,1,73.830,29.532,0.000
Mica,1,226,534,9038.000000,1,1,1,73.692,31.188,0.000
Mica,1,235,512,8613.000000,1,1,1,70.656,32.430,0.000
Mica,1,234,554,9208.000000,1,1,1,76.452,32.292,0.000
Mica,1,198,585,6478.000000,1,1,1,80.730,27.324,0.000
Mica,1,227,626,9696.000000,1,1,1,86.388,31.326,0.000
Mica,1,228,646,9134.000000,1,1,1,89.148,31.464,0.000
Mica,1,188,674,8644.000000,1,1,1,93.012,25.944,0.000
Mica,1,177,674,9669.000000,1,1,1,93.012,24.426,0.000
Mica,1,154,665,10040.000000,1,1,1,91.770,21.252,0.000
Mica,1,136,660,10093.000000,1,1,1,91.080,18.768,0.000
Mica,1,107,659,8645.000000,1,1,1,90.942,14.766,0.000
Mica,1,98,658,6507.000000,1,1,1,90.804,13.524,0.000
Mica,1,78,642,7240.000000,1,1,1,88.596,10.764,0.000
Mica,1,78,668,8708.000000,1,1,1,92.184,10.764,0.000
Mica,1,98,675,8153.000000,1,1,1,93.150,13.524,0.000
Mica,1,25,937,6520.000000,1,1,1,129.306,3.450,0.000
Mica,1,36,937,8693.000000,1,1,1,129.306,4.968,0.000
Mica,1,6,949,7347.000000,1,1,1,130.962,0.828,0.000
Mica,1,4,923,5742.000000,1,1,1,127.374,0.552,0.000
Mica,1,13,914,7600.000000,1,1,1,126.132,1.794,0.000
Mica,1,14,903,8916.000000,1,1,1,124.614,1.932,0.000
Mica,1,62,869,9123.000000,1,1,1,119.922,8.556,0.000
Mica,1,40,851,9922.000000,1,1,1,117.438,5.520,0.000
Mica,1,14,811,10079.000000,1,1,1,111.918,1.932,0.000
Mica,1,10,737,8836.000000,1,1,1,101.706,1.380,0.000
Mica,1,40,683,8919.000000,1,1,1,94.254,5.520,0.000
Mica,1,56,751,9155.000000,1,1,1,103.638,7.728,0.000
Mica,1,38,775,9536.000000,1,1,1,106.950,5.244,0.000
Mica,1,78,785,8796.000000,1,1,1,108.330,10.764,0.000
Mica,1,120,791,5358.000000,1,1,1,109.158,16.560,0.000
Mica,1,136,810,9455.000000,1,1,1,111.780,18.768,0.000
Mica,1,136,727,9672.000000,1,1,1,100.326,18.768,0.000
Mica,1,162,689,7968.000000,1,1,1,95.082,22.356,0.000
Mica,1,196,733,9806.000000,1,1,1,101.154,27.048,0.000
Mica,1,182,737,8731.000000,1,1,1,101.706,25.116,0.000
Mica,1,174,732,5626.000000,1,1,1,101.016,24.012,0.000
Mica,1,174,747,7342.000000,1,1,1,103.086,24.012,0.000
Mica,1,185,752,6626.000000,1,1,1,103.776,25.530,0.000
Mica,1,247,725,8237.000000,1,1,1,100.050,34.086,0.000
Mica,1,218,686,9304.000000,1,1,1,94.668,30.084,0.000
Mica,1,186,693,7511.000000,1,1,1,95.634,25.668,0.000
Mica,1,236,614,8030.000000,1,1,1,84.732,32.568,0.000
Mica,1,213,800,9539.000000,1,1,1,110.400,29.394,0.000
Mica,1,158,859,7886.000000,1,1,1,118.542,21.804,0.000
Mica,1,119,867,5701.000000,1,1,1,119.646,16.422,0.000
Mica,1,69,889,8121.000000,1,1,1,122.682,9.522,0.000
Mica,1,112,845,8985.000000,1,1,1,116.610,15.456,0.000
Mica,1,86,909,7205.000000,1,1,1,125.442,11.868,0.000
Mica,1,84,937,8550.000000,1,1,1,129.306,11.592,0.000
Mica,1,109,945,7954.000000,1,1,1,130.410,15.042,0.000
Mica,1,157,933,6595.000000,1,1,1,128.754,21.666,0.000
Mica,1,162,914,9388.000000,1,1,1,126.132,22.356,0.000
Mica,1,188,901,7837.000000,1,1,1,124.338,25.944,0.000
Mica,1,191,922,8970.000000,1,1,1,127.236,26.358,0.000
Mica,1,238,954,9111.000000,1,1,1,131.652,32.844,0.000
Mica,1,229,925,7326.000000,1,1,1,127.650,31.602,0.000
Mica,1,233,917,6776.000000,1,1,1,126.546,32.154,0.000
Mica,1,226,919,6892.000000,1,1,1,126.822,31.188,0.000
Mica,1,250,916,6845.000000,1,1,1,126.408,34.500,0.000
Mica,1,250,934,8514.000000,1,1,1,128.892,34.500,0.000
Mica,1,178,987,15038.000000,1,1,1,136.206,24.564,0.000
Mica,1,170,1006,8587.000000,1,1,1,138.828,23.460,0.000
Mica,1,181,1015,8818.000000,1,1,1,140.070,24.978,0.000
Mica,1,122,981,9121.000000,1,1,1,135.378,16.836,0.000
Mica,1,107,983,9301.000000,1,1,1,135.654,14.766,0.000
Mica,1,55,1006,5876.000000,1,1,1,138.828,7.590,0.000
Mica,1,8,1015,9870.000000,1,1,1,140.070,1.104,0.000
Mica,1,308,1005,4960.000000,1,1,1,138.690,42.504,0.000
Mica,1,332,1005,9103.000000,1,1,1,138.690,45.816,0.000
Mica,1,346,977,6450.000000,1,1,1,134.826,47.748,0.000
Mica,1,306,972,8912.000000,1,1,1,134.136,42.228,0.000
Mica,1,266,944,9377.000000,1,1,1,130.272,36.708,0.000
Mica,1,302,933,5403.000000,1,1,1,128.754,41.676,0.000
Mica,1,288,903,8225.000000,1,1,1,124.614,39.744,0.000
Mica,1,266,880,8674.000000,1,1,1,121.440,36.708,0.000
Mica,1,288,871,8869.000000,1,1,1,120.198,39.744,0.000
Mica,1,280,836,9723.000000,1,1,1,115.368,38.640,0.000
Mica,1,290,805,6210.000000,1,1,1,111.090,40.020,0.000
Mica,1,274,796,8906.000000,1,1,1,109.848,37.812,0.000
Mica,1,330,854,6766.000000,1,1,1,117.852,45.540,0.000
